id_produto,data_referencia,valor,qtd_vendida,qtd_estoque
2,2016-01-07,12.59,21.0,
2,2016-01-08,12.59,31.0,
2,2016-01-09,12.59,21.0,
2,2016-01-10,12.59,34.0,
2,2016-01-11,12.59,29.0,
2,2016-01-12,12.59,26.0,
2,2016-01-13,12.59,17.0,
2,2016-01-14,12.59,25.0,
2,2016-01-15,12.59,33.0,
2,2016-01-16,12.59,48.0,984.0
2,2016-01-17,12.59,20.0,962.0
2,2016-01-18,12.59,21.0,941.0
2,2016-01-19,12.59,35.0,1106.0
2,2016-01-20,12.59,23.0,1086.0
2,2016-01-21,12.59,22.0,1061.0
2,2016-01-22,12.59,28.0,1045.0
2,2016-01-23,12.59,42.0,991.0
2,2016-01-24,12.59,25.0,966.0
2,2016-01-25,12.59,25.0,941.0
2,2016-01-26,12.59,20.0,1081.0
2,2016-01-27,12.59,20.0,1061.0
2,2016-01-28,12.59,28.0,1033.0
2,2016-01-29,12.59,15.0,1018.0
2,2016-01-30,12.59,45.0,973.0
2,2016-01-31,12.59,36.0,937.0
2,2016-02-01,12.59,15.0,922.0
2,2016-02-02,12.59,12.0,989.0
2,2016-02-03,12.59,15.0,975.0
2,2016-02-04,12.59,19.0,955.0
2,2016-02-05,12.59,13.0,942.0
2,2016-02-06,12.59,23.0,919.0
2,2016-02-07,12.59,21.0,900.0
2,2016-02-08,12.59,17.0,881.0
2,2016-02-09,12.59,19.0,862.0
2,2016-02-10,12.59,20.0,922.0
2,2016-02-11,12.59,32.0,892.0
2,2016-02-12,12.59,30.0,860.0
2,2016-02-13,12.59,26.0,832.0
2,2016-02-14,12.59,26.0,806.0
2,2016-02-15,12.59,12.0,794.0
2,2016-02-16,12.59,20.0,774.0
2,2016-02-17,12.59,14.0,760.0
2,2016-02-18,12.59,19.0,741.0
2,2016-02-19,12.59,20.0,721.0
2,2016-02-20,12.59,39.0,682.0
2,2016-02-21,12.59,21.0,663.0
2,2016-02-22,12.59,26.0,637.0
2,2016-02-23,12.59,15.0,621.0
2,2016-02-24,12.59,25.0,596.0
2,2016-02-25,12.59,23.0,572.0
2,2016-02-26,12.59,25.0,547.0
2,2016-02-27,12.59,48.0,501.0
2,2016-02-28,12.59,36.0,464.0
2,2016-02-29,12.59,22.0,442.0
2,2016-03-01,12.59,28.0,414.0
2,2016-03-02,12.59,25.0,389.0
2,2016-03-03,12.59,24.0,365.0
2,2016-03-04,12.59,28.0,337.0
2,2016-03-05,12.59,90.0,127.0
2,2016-03-06,12.59,55.0,71.0
2,2016-03-07,12.59,26.0,45.0
2,2016-03-08,12.59,32.0,13.0
2,2016-03-09,12.59,2.0,11.0
2,2016-03-10,12.59,1.0,10.0
2,2016-03-11,12.59,5.0,5.0
2,2016-03-12,12.59,3.0,2.0
2,2016-03-13,12.59,2.0,0.0
2,2016-03-14,,,0.0
2,2016-03-15,,,0.0
2,2016-03-16,12.59,33.0,767.0
2,2016-03-17,12.59,68.0,700.0
2,2016-03-18,12.59,45.0,654.0
2,2016-03-19,12.59,109.0,545.0
2,2016-03-20,12.59,45.0,500.0
2,2016-03-21,12.59,32.0,481.0
2,2016-03-22,12.59,89.0,739.0
2,2016-03-23,12.59,61.0,678.0
2,2016-03-24,12.59,106.0,572.0
2,2016-03-25,12.59,65.0,507.0
2,2016-03-26,12.59,87.0,420.0
2,2016-03-27,12.59,36.0,384.0
2,2016-03-28,12.59,34.0,352.0
2,2016-03-29,12.59,22.0,329.0
2,2016-03-30,12.59,21.0,307.0
2,2016-03-31,12.59,14.0,293.0
2,2016-04-01,12.59,18.0,276.0
2,2016-04-02,12.59,42.0,234.0
2,2016-04-03,12.59,11.0,223.0
2,2016-04-04,12.59,24.0,201.0
2,2016-04-05,12.59,18.0,180.0
2,2016-04-06,12.59,29.0,152.0
2,2016-04-07,12.59,19.0,132.0
2,2016-04-08,12.59,23.0,115.0
2,2016-04-09,12.59,55.0,54.0
2,2016-04-10,12.59,54.0,0.0
2,2016-04-11,,,0.0
2,2016-04-12,12.59,20.0,344.0
